=== BQBYTE SUPPLY CHAIN — SUPPLIER PERFORMANCE DATA (Authoritative RAG Source) ===
NOTE: Metrics below are averaged across all purchase orders per supplier.
Total POs in dataset: 2000 | Total suppliers: 116 | Total spend: $399,563,494.10

=== REGIONAL SPEND BREAKDOWN (Section 5.3 Concentration Risk) ===
Total annual procurement spend: $399,563,494.10
EMEA: $193,987,179.91 (48.5% of total) *** BREACHES 45% concentration cap — Diversification Plan required within 60 days (Policy §5.3) ***
APAC: $131,620,356.14 (32.9% of total) — within limit
LATAM: $83,971,664.94 (21.0% of total) — within limit
NA: $46,330,792.78 (11.6% of total) — within limit
Highest region by PO value: EMEA at $193,987,179.91 (48.5%) — BREACHES the 45% regional cap.
No single country exceeds 25% limit.

=== PRODUCT CATEGORY DEFECT RATE ANALYSIS ===
Tier-2 maximum defect rate: 2.50% (Policy §3.2)
Category Packaging Materials: average defect rate 1.909% across 429 POs — BELOW Tier-2 limit of 2.50%
Category Mechanical Components: average defect rate 1.893% across 329 POs — BELOW Tier-2 limit of 2.50%
Category Raw Materials: average defect rate 1.713% across 360 POs — BELOW Tier-2 limit of 2.50%
Category Industrial Textiles: average defect rate 1.708% across 275 POs — BELOW Tier-2 limit of 2.50%
Category Specialty Alloys: average defect rate 1.606% across 327 POs — BELOW Tier-2 limit of 2.50%
Category Electronic Components: average defect rate 1.591% across 280 POs — BELOW Tier-2 limit of 2.50%
Highest average defect rate category: Mechanical Components at 2.12% across 360 POs — below Tier-2 ceiling of 2.50% (no breach, but approaching limit)

=== VOLUME REBATE PROGRAM QUALIFIERS — 19 SUPPLIERS (Policy §4.2) ===
Criteria: Tier-1 AND average OTD >= 93% AND average Defect Rate < 0.5% AND average Sustainability Score >= 85
Total qualifying suppliers: 19
VOLUME REBATE ELIGIBLE: SUP-062 Borealis Composites | Tier-1 | Region:EMEA | Country:Denmark | Category:RM
VOLUME REBATE ELIGIBLE: SUP-102 Crestline Chemical Supply | Tier-1 | Region:NA | Country:USA | Category:RM
VOLUME REBATE ELIGIBLE: SUP-103 Fenwick Alloy Solutions | Tier-1 | Region:NA | Country:USA | Category:SA
VOLUME REBATE ELIGIBLE: SUP-023 Hanguk Circuit Works | Tier-1 | Region:APAC | Country:South Korea | Category:EC
VOLUME REBATE ELIGIBLE: SUP-028 Hokkaido Alloy Tech | Tier-1 | Region:APAC | Country:Japan | Category:SA
VOLUME REBATE ELIGIBLE: SUP-046 Krauss-Polymex GmbH | Tier-1 | Region:EMEA | Country:Germany | Category:RM
VOLUME REBATE ELIGIBLE: SUP-105 Lakeshore Components | Tier-1 | Region:NA | Country:USA | Category:MC
VOLUME REBATE ELIGIBLE: SUP-054 Lumivex Semiconductor NL | Tier-1 | Region:EMEA | Country:Netherlands | Category:EC
VOLUME REBATE ELIGIBLE: SUP-112 Maplewood Polymer Corp | Tier-1 | Region:NA | Country:Canada | Category:RM
VOLUME REBATE ELIGIBLE: SUP-058 Norbec Alloy Works | Tier-1 | Region:EMEA | Country:Norway | Category:SA
VOLUME REBATE ELIGIBLE: SUP-060 Nordloom Finland Oy | Tier-1 | Region:EMEA | Country:Finland | Category:IT
VOLUME REBATE ELIGIBLE: SUP-001 Orrentek Precision Mfg | Tier-1 | Region:APAC | Country:China | Category:EC
VOLUME REBATE ELIGIBLE: SUP-064 Ostwind Composites AG | Tier-1 | Region:EMEA | Country:Austria | Category:RM
VOLUME REBATE ELIGIBLE: SUP-033 PrecisionForge Taiyuan | Tier-1 | Region:APAC | Country:Taiwan | Category:MC
VOLUME REBATE ELIGIBLE: SUP-056 Solveig Eco Packaging | Tier-1 | Region:EMEA | Country:Sweden | Category:PM
VOLUME REBATE ELIGIBLE: SUP-037 Straits Packaging Hub | Tier-1 | Region:APAC | Country:Singapore | Category:PM
VOLUME REBATE ELIGIBLE: SUP-043 Tasman Circuit Boards | Tier-1 | Region:APAC | Country:Australia | Category:EC
VOLUME REBATE ELIGIBLE: SUP-051 Toreval Electronics | Tier-1 | Region:EMEA | Country:France | Category:EC
VOLUME REBATE ELIGIBLE: SUP-066 Valdoro Special Alloys | Tier-1 | Region:EMEA | Country:Italy | Category:SA
Rebate amount: 2.5% of total annual invoice value, assessed in January each year.

=== SUPPLIER WATCH LIST (SWL) — 11 SUPPLIERS (Policy §3.4) ===
Criteria: Compliance Score < 60 at any audit — restricts new PO issuance to 20% of prior quarter volume
SWL STATUS: SUP-018 Deltaforge Vietnam | Region:APAC | Country:Vietnam | Tier-3 | Compliance Score:62
SWL STATUS: SUP-080 Maghreb Castworks | Region:EMEA | Country:Morocco | Tier-3 | Compliance Score:62
SWL STATUS: SUP-079 Helios Pack Greece | Region:EMEA | Country:Greece | Tier-3 | Compliance Score:60
SWL STATUS: SUP-095 Cerromax Mineria | Region:LATAM | Country:Peru | Tier-3 | Compliance Score:53
SWL STATUS: SUP-100 Orinoco Pack SAPI | Region:LATAM | Country:Venezuela | Tier-3 | Compliance Score:61
SWL STATUS: SUP-078 Varna Electronics EAD | Region:EMEA | Country:Bulgaria | Tier-3 | Compliance Score:58
SWL STATUS: SUP-101 Quetzal Textiles | Region:LATAM | Country:Guatemala | Tier-3 | Compliance Score:67
SWL STATUS: SUP-090 Plataforma Metales SA | Region:LATAM | Country:Argentina | Tier-3 | Compliance Score:68
SWL STATUS: SUP-041 Archipelago PCB Corp | Region:APAC | Country:Philippines | Tier-3 | Compliance Score:75
SWL STATUS: SUP-011 Dravex Components India | Region:APAC | Country:India | Tier-3 | Compliance Score:74
SWL STATUS: SUP-045 Sibertek Molding | Region:APAC | Country:Russia | Tier-3 | Compliance Score:70
Total SWL suppliers: 11
SWL restriction: New PO issuance limited to 20% of prior quarter volume (Policy §3.4)

=== TIER-3 SUPPLIERS WITH ACTIVE DISRUPTION FLAGS — 11 SUPPLIERS (Policy §9) ===
All High Risk Tier-3 suppliers with disruption flag → Level 3 Activate per Policy §9
Level 3 Activate: CPO escalation + alternate supplier at minimum 40% volume within 10 days + safety stock +50% + RCA within 15 days
TIER-3 DISRUPTION: SUP-011 Dravex Components India | Region:APAC | Risk:High | Disruption:Typhoon season disruption | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-090 Plataforma Metales SA | Region:LATAM | Risk:High | Disruption:Export license risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-080 Maghreb Castworks | Region:EMEA | Risk:Medium | Disruption:Tariff adjustment pending | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-079 Helios Pack Greece | Region:EMEA | Risk:High | Disruption:Labour strike risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-095 Cerromax Mineria | Region:LATAM | Risk:High | Disruption:Audit overdue; compliance review | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-100 Orinoco Pack SAPI | Region:LATAM | Risk:High | Disruption:Audit overdue; compliance review | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-101 Quetzal Textiles | Region:LATAM | Risk:Medium | Disruption:Seasonal flood risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-045 Sibertek Molding | Region:APAC | Risk:High | Disruption:Port closure risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-041 Archipelago PCB Corp | Region:APAC | Risk:High | Disruption:Labour strike risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-078 Varna Electronics EAD | Region:EMEA | Risk:Medium | Disruption:Port congestion risk | Response: Level 3 Activate
TIER-3 DISRUPTION: SUP-018 Deltaforge Vietnam | Region:APAC | Risk:Medium | Disruption:Port congestion risk | Response: Level 3 Activate
Total Tier-3 suppliers with active disruption: 11
Note: Labour strikes (SUP-079, SUP-041) and export control restrictions (SUP-090) are mandatory Level 3 regardless of risk level per Policy §9

=== ALL 116 SUPPLIER PROFILES (averaged metrics across all POs) ===
Supplier SUP-001 | Orrentek Precision Mfg | Region:APAC | Country:China | Category:Electronic Components | Tier:Tier-1 | Risk:Low | Avg OTD:95.7% | Avg Defect:0.87% | Avg Compliance:86 | Avg Sustainability:81 | Active Disruptions:None | Alt Supplier:SUP-006 | Certifications:ISO9001;ISO14001;RoHS | Total PO Value:$939,643.31 [REBATE ELIGIBLE]
Supplier SUP-079 | Helios Pack Greece | Region:EMEA | Country:Greece | Category:Packaging Materials | Tier:Tier-3 | Risk:High | Avg OTD:75.9% | Avg Defect:2.71% | Avg Compliance:62 | Avg Sustainability:46 | Active Disruptions:Labour strike risk | Alt Supplier:SUP-002 | Certifications:ISO9001 | Total PO Value:$1,287,023.57 [SWL] [TIER3-DISRUPTION-LEVEL3]
Supplier SUP-080 | Maghreb Castworks | Region:EMEA | Country:Morocco | Category:Mechanical Components | Tier:Tier-3 | Risk:Medium | Avg OTD:72.5% | Avg Defect:2.85% | Avg Compliance:60 | Avg Sustainability:45 | Active Disruptions:Tariff adjustment pending | Alt Supplier:SUP-048 | Certifications:ISO9001 | Total PO Value:$3,332,740.62 [SWL] [TIER3-DISRUPTION-LEVEL3]
Supplier SUP-081 | Lisbon Polymer Lda | Region:EMEA | Country:Portugal | Category:Raw Materials | Tier:Tier-2 | Risk:Medium | Avg OTD:87.3% | Avg Defect:2.06% | Avg Compliance:78 | Avg Sustainability:66 | Active Disruptions:None | Alt Supplier:SUP-053 | Certifications:ISO9001;REACH | Total PO Value:$6,208,222.51
Supplier SUP-082 | Veltara Packing Solutions | Region:LATAM | Country:Brazil | Category:Packaging Materials | Tier:Tier-2 | Risk:Low | Avg OTD:85.3% | Avg Defect:1.56% | Avg Compliance:80 | Avg Sustainability:71 | Active Disruptions:None | Alt Supplier:SUP-067 | Certifications:FSC;ISO9001 | Total PO Value:$916,686.63
Supplier SUP-083 | Sao Paulo Polymer | Region:LATAM | Country:Brazil | Category:Raw Materials | Tier:Tier-2 | Risk:Medium | Avg OTD:86.9% | Avg Defect:1.87% | Avg Compliance:83 | Avg Sustainability:66 | Active Disruptions:None | Alt Supplier:SUP-037 | Certifications:ISO9001 | Total PO Value:$5,124,519.22
Supplier SUP-084 | Recife Textiles SA | Region:LATAM | Country:Brazil | Category:Industrial Textiles | Tier:Tier-2 | Risk:High | Avg OTD:86.8% | Avg Defect:1.73% | Avg Compliance:77 | Avg Sustainability:68 | Active Disruptions:Port closure risk | Alt Supplier:SUP-036 | Certifications:OEKO-TEX;ISO9001 | Total PO Value:$1,086,569.50
Supplier SUP-085 | Minas Gerais Alloys | Region:LATAM | Country:Brazil | Category:Specialty Alloys | Tier:Tier-2 | Risk:Medium | Avg OTD:84.7% | Avg Defect:2.00% | Avg Compliance:80 | Avg Sustainability:67 | Active Disruptions:Seasonal flood risk | Alt Supplier:SUP-008 | Certifications:ISO9001 | Total PO Value:$8,225,174.12
Supplier SUP-086 | Tecovar Industrial Textiles | Region:LATAM | Country:Mexico | Category:Industrial Textiles | Tier:Tier-2 | Risk:Medium | Avg OTD:86.7% | Avg Defect:1.92% | Avg Compliance:82 | Avg Sustainability:64 | Active Disruptions:None | Alt Supplier:SUP-095 | Certifications:OEKO-TEX;ISO9001 | Total PO Value:$1,958,107.99
Supplier SUP-087 | Guadalajara Mold Co | Region:LATAM | Country:Mexico | Category:Mechanical Components | Tier:Tier-2 | Risk:Low | Avg OTD:84.8% | Avg Defect:2.06% | Avg Compliance:82 | Avg Sustainability:65 | Active Disruptions:None | Alt Supplier:SUP-055 | Certifications:ISO9001;IATF16949 | Total PO Value:$2,136,677.95
Supplier SUP-088 | Monterrey Pack SA | Region:LATAM | Country:Mexico | Category:Packaging Materials | Tier:Tier-2 | Risk:Medium | Avg OTD:87.0% | Avg Defect:1.89% | Avg Compliance:77 | Avg Sustainability:67 | Active Disruptions:None | Alt Supplier:SUP-060 | Certifications:FSC;ISO9001 | Total PO Value:$1,022,512.74
Supplier SUP-089 | Yucatan Polymer Mfg | Region:LATAM | Country:Mexico | Category:Raw Materials | Tier:Tier-3 | Risk:High | Avg OTD:72.3% | Avg Defect:3.08% | Avg Compliance:64 | Avg Sustainability:49 | Active Disruptions:Port closure risk | Alt Supplier:SUP-019 | Certifications:ISO9001 | Total PO Value:$8,442,197.70
Supplier SUP-090 | Plataforma Metales SA | Region:LATAM | Country:Argentina | Category:Raw Materials | Tier:Tier-3 | Risk:Medium | Avg OTD:72.9% | Avg Defect:3.43% | Avg Compliance:65 | Avg Sustainability:49 | Active Disruptions:None | Alt Supplier:SUP-072 | Certifications:ISO9001 | Total PO Value:$8,108,557.46 [SWL] [TIER3-DISRUPTION-LEVEL3]
Supplier SUP-091 | Patagonia Alloys SRL | Region:LATAM | Country:Argentina | Category:Specialty Alloys | Tier:Tier-3 | Risk:Low | Avg OTD:72.1% | Avg Defect:3.12% | Avg Compliance:64 | Avg Sustainability:47 | Active Disruptions:None | Alt Supplier:SUP-020 | Certifications:ISO9001 | Total PO Value:$13,980,886.91
Supplier SUP-092 | Buenos Aires Pack | Region:LATAM | Country:Argentina | Category:Packaging Materials | Tier:Tier-3 | Risk:Low | Avg OTD:72.4% | Avg Defect:2.52% | Avg Compliance:59 | Avg Sustainability:50 | Active Disruptions:None | Alt Supplier:SUP-016 | Certifications:ISO9001 | Total PO Value:$1,439,440.11
Supplier SUP-093 | Andino Fiber Corp | Region:LATAM | Country:Colombia | Category:Industrial Textiles | Tier:Tier-2 | Risk:Low | Avg OTD:87.5% | Avg Defect:1.94% | Avg Compliance:79 | Avg Sustainability:62 | Active Disruptions:None | Alt Supplier:SUP-074 | Certifications:OEKO-TEX;ISO9001 | Total PO Value:$1,682,976.65
Supplier SUP-094 | Bogota Pack Ltda | Region:LATAM | Country:Colombia | Category:Packaging Materials | Tier:Tier-3 | Risk:High | Avg OTD:71.0% | Avg Defect:3.08% | Avg Compliance:62 | Avg Sustainability:45 | Active Disruptions:Labour strike risk | Alt Supplier:SUP-005 | Certifications:FSC;ISO9001 | Total PO Value:$1,121,220.83
Supplier SUP-095 | Cerromax Mineria | Region:LATAM | Country:Peru | Category:Raw Materials | Tier:Tier-3 | Risk:High | Avg OTD:72.4% | Avg Defect:3.03% | Avg Compliance:65 | Avg Sustainability:47 | Active Disruptions:Audit overdue; compliance review | Alt Supplier:SUP-105 | Certifications:ISO9001 | Total PO Value:$7,195,951.77 [SWL] [TIER3-DISRUPTION-LEVEL3]
Supplier SUP-096 | Lima Polymer SA | Region:LATAM | Country:Peru | Category:Raw Materials | Tier:Tier-3 | Risk:High | Avg OTD:73.1% | Avg Defect:2.53% | Avg Compliance:64 | Avg Sustainability:48 | Active Disruptions:Audit overdue; compliance review | Alt Supplier:SUP-002 | Certifications:ISO9001 | Total PO Value:$8,457,944.13
Supplier SUP-097 | Amapola Fibras | Region:LATAM | Country:Chile | Category:Industrial Textiles | Tier:Tier-2 | Risk:Medium | Avg OTD:86.5% | Avg Defect:1.89% | Avg Compliance:76 | Avg Sustainability:66 | Active Disruptions:None | Alt Supplier:SUP-024 | Certifications:OEKO-TEX;ISO9001 | Total PO Value:$1,840,660.56
Supplier SUP-098 | Cobre del Sur SA | Region:LATAM | Country:Chile | Category:Specialty Alloys | Tier:Tier-2 | Risk:Medium | Avg OTD:88.5% | Avg Defect:1.76% | Avg Compliance:80 | Avg Sustainability:64 | Active Disruptions:None | Alt Supplier:SUP-060 | Certifications:ISO9001 | Total PO Value:$6,733,948.91
Supplier SUP-099 | Santiago Pack Corp | Region:LATAM | Country:Chile | Category:Packaging Materials | Tier:Tier-2 | Risk:Medium | Avg OTD:86.0% | Avg Defect:1.70% | Avg Compliance:80 | Avg Sustainability:60 | Active Disruptions:Tariff adjustment pending | Alt Supplier:SUP-108 | Certifications:FSC;ISO9001 | Total PO Value:$959,031.33
Supplier SUP-100 | Orinoco Pack SAPI | Region:LATAM | Country:Venezuela | Category:Packaging Materials | Tier:Tier-3 | Risk:Low | Avg OTD:72.3% | Avg Defect:2.80% | Avg Compliance:63 | Avg Sustainability:50 | Active Disruptions:None | Alt Supplier:SUP-067 | Certifications:ISO9001 | Total PO Value:$1,345,067.87 [SWL] [TIER3-DISRUPTION-LEVEL3]
Supplier SUP-101 | Quetzal Textiles | Region:LATAM | Country:Guatemala | Category:Industrial Textiles | Tier:Tier-3 | Risk:Medium | Avg OTD:75.2% | Avg Defect:2.76% | Avg Compliance:62 | Avg Sustainability:41 | Active Disruptions:None | Alt Supplier:SUP-043 | Certifications:ISO9001 | Total PO Value:$2,193,532.56 [SWL] [TIER3-DISRUPTION-LEVEL3]
Supplier SUP-102 | Crestline Chemical Supply | Region:NA | Country:USA | Category:Raw Materials | Tier:Tier-1 | Risk:Low | Avg OTD:93.7% | Avg Defect:0.93% | Avg Compliance:92 | Avg Sustainability:84 | Active Disruptions:None | Alt Supplier:SUP-036 | Certifications:ISO9001;ISO14001;OSHA | Total PO Value:$1,578,038.84 [REBATE ELIGIBLE]
Supplier SUP-103 | Fenwick Alloy Solutions | Region:NA | Country:USA | Category:Specialty Alloys | Tier:Tier-1 | Risk:Low | Avg OTD:94.0% | Avg Defect:0.96% | Avg Compliance:89 | Avg Sustainability:82 | Active Disruptions:None | Alt Supplier:SUP-099 | Certifications:ISO9001;NADCAP;AS9100 | Total PO Value:$2,944,011.89 [REBATE ELIGIBLE]
Supplier SUP-104 | Ridgecroft Textiles | Region:NA | Country:USA | Category:Industrial Textiles | Tier:Tier-1 | Risk:High | Avg OTD:94.0% | Avg Defect:0.84% | Avg Compliance:90 | Avg Sustainability:79 | Active Disruptions:Port closure risk | Alt Supplier:SUP-071 | Certifications:OEKO-TEX;ISO9001;OSHA | Total PO Value:$487,220.36
Supplier SUP-105 | Lakeshore Components | Region:NA | Country:USA | Category:Mechanical Components | Tier:Tier-1 | Risk:Low | Avg OTD:94.8% | Avg Defect:0.81% | Avg Compliance:89 | Avg Sustainability:81 | Active Disruptions:None | Alt Supplier:SUP-018 | Certifications:ISO9001;IATF16949;OSHA | Total PO Value:$576,320.30 [REBATE ELIGIBLE]
Supplier SUP-106 | BlueMesa Polymers | Region:NA | Country:USA | Category:Raw Materials | Tier:Tier-1 | Risk:Low | Avg OTD:93.8% | Avg Defect:0.93% | Avg Compliance:89 | Avg Sustainability:84 | Active Disruptions:None | Alt Supplier:SUP-067 | Certifications:ISO9001;ISO14001;OSHA | Total PO Value:$1,758,414.87
Supplier SUP-107 | Cascade Pack Corp | Region:NA | Country:USA | Category:Packaging Materials | Tier:Tier-1 | Risk:High | Avg OTD:92.8% | Avg Defect:0.90% | Avg Compliance:91 | Avg Sustainability:85 | Active Disruptions:Regulatory enforcement pending | Alt Supplier:SUP-070 | Certifications:FSC;ISO14001;ISO9001 | Total PO Value:$224,798.27
Supplier SUP-108 | Appalachian Alloys | Region:NA | Country:USA | Category:Specialty Alloys | Tier:Tier-2 | Risk:High | Avg OTD:88.1% | Avg Defect:1.82% | Avg Compliance:78 | Avg Sustainability:69 | Active Disruptions:Regulatory enforcement pending | Alt Supplier:SUP-091 | Certifications:ISO9001;NADCAP | Total PO Value:$10,062,321.79
Supplier SUP-109 | Gulf Coast Mech | Region:NA | Country:USA | Category:Mechanical Components | Tier:Tier-2 | Risk:Low | Avg OTD:85.7% | Avg Defect:1.92% | Avg Compliance:77 | Avg Sustainability:65 | Active Disruptions:None | Alt Supplier:SUP-085 | Certifications:ISO9001;IATF16949 | Total PO Value:$2,815,562.74
Supplier SUP-110 | Texarkana Fiber Inc | Region:NA | Country:USA | Category:Industrial Textiles | Tier:Tier-2 | Risk:High | Avg OTD:85.5% | Avg Defect:1.81% | Avg Compliance:78 | Avg Sustainability:63 | Active Disruptions:Labour strike risk | Alt Supplier:SUP-048 | Certifications:OEKO-TEX;ISO9001 | Total PO Value:$1,523,184.03
Supplier SUP-111 | Ohio Valley Electronics | Region:NA | Country:USA | Category:Electronic Components | Tier:Tier-2 | Risk:Low | Avg OTD:87.1% | Avg Defect:1.86% | Avg Compliance:79 | Avg Sustainability:71 | Active Disruptions:None | Alt Supplier:SUP-013 | Certifications:ISO9001;RoHS | Total PO Value:$2,733,841.93
Supplier SUP-112 | Maplewood Polymer Corp | Region:NA | Country:Canada | Category:Raw Materials | Tier:Tier-1 | Risk:Medium | Avg OTD:92.3% | Avg Defect:1.07% | Avg Compliance:88 | Avg Sustainability:83 | Active Disruptions:Geopolitical tension flag | Alt Supplier:SUP-074 | Certifications:ISO9001;ISO14001;REACH | Total PO Value:$953,228.38 [REBATE ELIGIBLE]
Supplier SUP-113 | Pinnacle Resin Co | Region:NA | Country:Canada | Category:Raw Materials | Tier:Tier-2 | Risk:Medium | Avg OTD:84.0% | Avg Defect:1.49% | Avg Compliance:83 | Avg Sustainability:66 | Active Disruptions:Seasonal flood risk | Alt Supplier:SUP-066 | Certifications:ISO9001;REACH | Total PO Value:$5,909,011.05
Supplier SUP-114 | Rockies Pack Inc | Region:NA | Country:Canada | Category:Packaging Materials | Tier:Tier-2 | Risk:Low | Avg OTD:86.1% | Avg Defect:1.90% | Avg Compliance:78 | Avg Sustainability:72 | Active Disruptions:None | Alt Supplier:SUP-066 | Certifications:FSC;ISO9001 | Total PO Value:$859,435.88
Supplier SUP-115 | Caribou Alloy Works | Region:NA | Country:Canada | Category:Specialty Alloys | Tier:Tier-2 | Risk:Low | Avg OTD:87.0% | Avg Defect:1.70% | Avg Compliance:81 | Avg Sustainability:66 | Active Disruptions:None | Alt Supplier:SUP-095 | Certifications:ISO9001;NADCAP | Total PO Value:$11,752,037.57
Supplier SUP-116 | Prairie Mech Corp | Region:NA | Country:Canada | Category:Mechanical Components | Tier:Tier-2 | Risk:Medium | Avg OTD:85.0% | Avg Defect:1.66% | Avg Compliance:80 | Avg Sustainability:69 | Active Disruptions:Regulatory audit pending | Alt Supplier:SUP-083 | Certifications:ISO9001;IATF16949 | Total PO Value:$2,153,364.88
